City,Cloudiness,Country,Date,Max Temp,Wind Speed,Lat,Lng,Humidity
Magadan,80,RU,1549258794,5.8,15.79,59.56,150.8,100
Mataura,88,NZ,1549258592,71.18,21.83,-46.19,168.86,53
Rikitea,12,PF,1549258575,81.85,7.74,-23.12,-134.97,99
Bambous Virieux,40,MU,1549256400,86,11.41,-20.34,57.76,79
Punta Arenas,0,CL,1549256400,57.2,12.75,-53.16,-70.91,67
Hermanus,92,ZA,1549258602,63.31,3.49,-34.42,19.24,98
Clonakilty,75,IE,1549256400,44.6,6.93,51.62,-8.87,93
Port Alfred,32,ZA,1549258574,70.28,14.45,-33.59,26.89,86
Esperance,20,TT,1549256400,73.4,5.06,10.24,-61.45,83
Hilo,90,US,1549255980,71.96,11.21,19.71,-155.08,84
Mount Isa,90,AU,1549256940,77,19.46,-20.73,139.49,88
Hasaki,0,JP,1549256400,64.4,16.11,35.73,140.83,27
Shache,0,CN,1549258797,36.31,3.71,38.42,77.24,51
Mahebourg,40,MU,1549256400,86,11.41,-20.41,57.7,79
Rabat,0,MA,1549256400,42.8,2.24,34.02,-6.83,80
Bluff,92,AU,1549258583,85.27,15.01,-23.58,149.07,51
Port Elizabeth,90,US,1549258020,33.98,2.93,39.31,-74.98,100
Dong Hoi,48,VN,1549258798,75.32,5.61,17.48,106.6,95
Salinas,40,US,1549258200,51.98,6.93,36.67,-121.66,87
Chuy,24,UY,1549258609,63.53,6.51,-33.69,-53.46,87
Shimoda,20,JP,1549256400,64.4,19.46,34.7,138.93,55
Ponta do Sol,36,BR,1549258799,68.48,3.04,-20.63,-46,85
Busselton,0,AU,1549258580,76.85,8.63,-33.64,115.35,76
Balkhash,0,KZ,1549256400,3.2,17.9,46.84,74.98,54
Hobart,20,AU,1549256400,69.8,16.11,-42.88,147.33,56
Dikson,8,RU,1549258618,-9.96,8.97,73.51,80.55,73
Rio Gallegos,0,AR,1549256400,59,2.15,-51.62,-69.22,67
Krasnooktyabrskiy,75,RU,1549256400,37.4,8.95,44.93,38.37,100
Kapaa,75,US,1549256160,75.02,17.22,22.08,-159.32,71
Avarua,90,CK,1549256400,78.8,3.36,-21.21,-159.78,88
Butaritari,56,KI,1549258622,84.05,19.26,3.07,172.79,100
Lompoc,90,US,1549257300,53.06,3.36,34.64,-120.46,85
Surt,8,LY,1549258282,54.53,16.13,31.21,16.59,100
Bredasdorp,92,ZA,1549256400,66.2,5.82,-34.53,20.04,88
Nikolskoye,90,RU,1549256400,33.8,4.47,59.7,30.79,86
Kodiak,75,US,1549256400,55.76,11.41,39.95,-94.76,89
Umm Lajj,0,SA,1549258312,68.57,11.77,25.02,37.27,88
Kendari,80,ID,1549258807,79.78,0.36,-3.99,122.52,97
Pasighat,0,IN,1549258807,69.43,2.04,28.06,95.33,33
New Norfolk,20,AU,1549256400,69.8,16.11,-42.78,147.06,56
Tuktoyaktuk,75,CA,1549256400,-4.01,16.11,69.44,-133.03,70
Ocampo,0,PH,1549258808,81.17,12.21,13.56,123.37,84
Portland,90,US,1549257300,41,5.82,45.52,-122.67,85
Okha,36,RU,1549258624,-4.47,12.77,53.59,142.95,93
